ProductID,productURL,Name,Description,ProductSKU,Price PL,Margin,Convert,Price UA,Price,ImageURL,InStock
50178411,https://www.ikea.com/pl/pl/p/laett-stolik-dzieciecy-i-2-krzesla-bialy-sosna-50178411/,IKEA LÄTT Дитячий стіл і 2 стільці білий/сосна,"<p>За допомогою цього столу та стільців ви легко створите для вашої дитини міцний куточок для творчості та рукоділля. Рамки виготовлені з масиву сосни та мають поверхню, покриту білою плівкою, яку легко витирати.</p><br> <strong> Інформація про Продукт</strong><br ><br>Їх невеликі розміри роблять їх особливо корисними в невеликих кімнатах або кімнатах.<br ><br><strong> Дизайнер</strong><br >IKEA зі Швеції<br><br><strong>Матеріали</strong><br >Основні частини:<br >Масив сосни<br >Стільниця / Сидіння:<br >ДВП, фольга<br >Догляд<br >Протріть вологою тканиною.<br><br><strong>Розміри</strong><br><br>Довжина столу :  63 см<br >Ширина столу :  48 см<br >Висота столу :  45 см<br >Ширина сидіння :  28 см<br >Глибина сидіння :  28 см<br >Висота сидіння :  28 см",501.784.11,129.0,1.3,7.5,0,1257.7500000000002,https://www.ikea.com/pl/pl/images/products/laett-stolik-dzieciecy-i-2-krzesla-bialy-sosna__0735856_pe740220_s5.jpg?f=s,True
60365346,https://www.ikea.com/pl/pl/p/mammut-krzeselko-dzieciece-do-wewnatrz-na-zewnatrz-niebieski-60365346/,"IKEA MAMMUT Стілець дитячий, кімнатний / відкритий / синій","<p>Міцні та легкі меблі MAMMUT легко витримають примхи погоди та навіть найзапекліші ігри. Чудово підходить для використання на відкритому повітрі та легко очищається, коли приходить час переходити всередину.</p><br> <strong> Інформація про Продукт</strong><br ><br>Предмет меблів легкий, але стійкий, і дитина може переносити його з кімнати в кімнату або в сад.<br >Виготовлений з нешкідливого пластику, того ж матеріалу, що використовується для виробництва дитячих пляшечок, одноразових підгузників і контейнерів для їжі.<br >Він також ідеально підходить для використання на вулиці, оскільки виготовлений із матеріалів, стійких до дощу, сонця, снігу та бруду.<br >Проста збірка - просто з'єднайте елементи одним клацанням.<br ><br><strong> Дизайнер</strong><br >M Kjelstrup / A Östgaard<br><br><strong>Матеріали</strong><br >Поліпропіленовий пластик<br >Догляд<br >Протріть вологою тканиною.<br >Wycierać czystą suchą tkaniną<br><br><strong>Розміри</strong><br><br>Ширина :  39 см<br >Глибина :  36 см<br >Висота :  67 см<br >Глибина сидіння :  26 см<br >Висота сидіння :  30 см",603.653.46,69.0,1.3,7.5,0,672.75,https://www.ikea.com/pl/pl/images/products/mammut-krzeselko-dzieciece-do-wewnatrz-na-zewnatrz-niebieski__0727922_pe735928_s5.jpg?f=s,True
50365177,https://www.ikea.com/pl/pl/p/mammut-stolik-dzieciecy-do-wewnatrz-na-zewnatrz-bialy-50365177/,"IKEA MAMMUT Стіл дитячий внутрішній/вуличний білий,","<p>Міцні та легкі меблі MAMMUT легко витримають примхи погоди та навіть найзапекліші ігри. Чудово підходить для використання на відкритому повітрі та легко очищається, коли приходить час переходити всередину.</p><br> <strong> Інформація про Продукт</strong><br ><br>Предмет меблів легкий, але стійкий, і дитина може переносити його з кімнати в кімнату або в сад.<br >Виготовлений з нешкідливого пластику, того ж матеріалу, що використовується для виробництва дитячих пляшечок, одноразових підгузників і контейнерів для їжі.<br >Він також ідеально підходить для використання на вулиці, оскільки виготовлений із матеріалів, стійких до дощу, сонця, снігу та бруду.<br >Проста збірка - просто з'єднайте елементи одним клацанням.<br ><br><strong> Дизайнер</strong><br >M Kjelstrup / A Östgaard<br><br><strong>Матеріали</strong><br >Поліпропіленовий пластик<br >Догляд<br >Протріть вологою тканиною.<br >Wycierać czystą suchą tkaniną<br><br><strong>Розміри</strong><br><br>Довжина :  77 см<br >Ширина :  55 см<br >Висота :  48 см",503.651.77,149.0,1.3,7.5,0,1452.7500000000002,https://www.ikea.com/pl/pl/images/products/mammut-stolik-dzieciecy-do-wewnatrz-na-zewnatrz-bialy__0735842_pe740215_s5.jpg?f=s,False
49390875,https://www.ikea.com/pl/pl/p/smastad-szafa-bialy-bialy-z-2-drazkami-na-ubrania-s49390875/,"IKEA SMÅSTAD Шафа, білий, білий / з 2 штангами для одягу,","<p>Dziecko może korzystać z tej szafy przez wiele lat, gdyż jest wystarczająco głęboka, aby pomieścić wieszaki dla dorosłych i ma wyposażenie, które można przestawiać w miarę jak dziecko rośnie.</p><br> <strong> Інформація про Продукт</strong><br ><br>У комплект входять регульовані ніжки, завдяки яким він стійко стоїть навіть на нерівній підлозі.<br >Щоб зберегти природні ресурси та максимально використати деревину, ми використовували відходи лісопиляння у виробництві ДСП для SMÅSTAD.<br><br><strong>Матеріали</strong><br >Корпус / полку<br >ДВП, паперова фольга, ДСП, стільниковий папір (100% перероблений)<br >двері<br >ДВП, акрилова фарба<br >Стрижень<br >сталь, епоксидне/поліефірне порошкове покриття<br >Samodomykające zawiasy<br >Zawias:<br >stal, pokryte miedzią<br >Urządzenie cicho zamykające:<br >tworzywo acetalowe<br >Haczyk i zacisk<br >stal, Epoksydowa/poliestrowa powłoka proszkowa, Epoksydowa/poliestrowa powłoka proszkowa<br >Noga regulowana<br >stal, Tworzywo polipropylenowe, galwanizowane<br><br><strong>Розміри</strong><br><br>Глибина :  42 см<br >Зріст :  181 см<br >Ширина :  60 см",493.908.75,575.0,1.3,7.5,0,5606.25,https://www.ikea.com/pl/pl/images/products/smastad-szafa-bialy-bialy-z-2-drazkami-na-ubrania__0925744_pe788857_s5.jpg?f=s,True
9328791,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-bialy-szary-s09328791/,"IKEA TROFAST Стелаж з ящиками, білий / сірий,","<p>Дітям потрібне місце для ігор - і гарне місце для зберігання іграшок, наприклад TROFAST - серія міцних дерев'яних рам і легких пластикових контейнерів, які дитина може легко висунути, пересунути і поставити назад.</p><br> <strong> Інформація про Продукт</strong><br ><br>Весела та довговічна серія меблів для зберігання та впорядкування іграшок, сидіння, ігор та відпочинку.<br >Каркас має серію пазів, тож ви можете вставляти ящики та полиці, куди завгодно, і змінювати їх положення в будь-який момент.<br >Низький предмет меблів з місцем для зберігання, підігнаним під зріст дитини. Дітям легше дістатися і прибрати свої речі.<br ><br><strong> Дизайнер</strong><br >Копенгагенська студія<br><br><strong>Матеріали</strong><br >рамка<br >Зносний шар:<br >ДСП, Паперова фольга, Пластикова кромка<br >Направляюча шухляда:<br >Поліпропіленовий пластик<br >Контейнер<br >Поліпропіленовий пластик<br >Догляд<br >Контейнер<br >Протріть вологою тканиною.<br >Протріть сухою тканиною.<br><br><strong>Розміри</strong><br><br>Ширина :  99 см<br >- Глибина :  44 см<br >Висота :  56 см",093.287.91,299.0,1.3,7.5,0,2915.25,https://www.ikea.com/pl/pl/images/products/trofast-regal-z-pojemnikami-bialy-szary__0807381_pe770402_s5.jpg?f=s,True
472702,https://www.ikea.com/pl/pl/p/bergig-regal-na-ksiazki-z-szuflada-bialy-00472702/,"IKEA BERGIG Книжкова шафа з ящиком, біла","<p>Книжкова шафа має дві відкриті полиці і місткий ящик для книг та іграшок. Все в невеликому просторі і на висоті, до якої дитина може самостійно дістатися - завдяки чому грати і прибирати стає легше.</p><br> <strong> Інформація про Продукт</strong><br ><br>У цій низькій книжковій шафі з місцем для зберігання ваша дитина може сама складати та діставати свої книжки та іграшки.<br >Багато дітей люблять читати, і їм легше швидко знайти улюблену книгу і схопити її, коли видно перші сторінки книг.<br >Шухляду можна легко відкрити за допомогою маленьких ручок, оскільки передня частина шухляди вища за нижню полицю, утворюючи вбудовану ручку.<br >Практичне зберігання в невеликому просторі з книжковою полицею вгорі та полицею та шухлядою внизу, де є місце для іграшок, ігор і навіть більше книг.<br >Для додаткової безпеки книжкова шафа має закруглені кути та скошені краї.<br><br><strong>Матеріали</strong><br >Стаціонарна полиця:<br >ДСП, паперова фольга<br >Szyna frontowa/ Przegroda/ Szyna nośna/ Dno szuflady:<br >Płyta pilśniowa, Folia papierowa<br >Panel boczny/ Panel górny/ Front szuflady:<br >Płyta wiórowa, Folia papierowa, Krawędź z tworzywa<br >Panel tylny:<br >Płyta pilśniowa, Farba akrylowa<br >Pielęgnacja<br >Przecierać czystą, wilgotną szmatką.<br >Wycierać czystą suchą tkaniną<br><br><strong>Розміри</strong><br><br>Ширина :  80 см<br >- Глибина :  43 см<br >Зріст :  101 см",004.727.02,499.0,1.3,7.5,0,4865.25,https://www.ikea.com/pl/pl/images/products/bergig-regal-na-ksiazki-z-szuflada-bialy__0844238_pe783371_s5.jpg?f=s,True
80153800,https://www.ikea.com/pl/pl/p/trofast-rama-bialy-80153800/,"IKEA TROFAST Рама біла,","<p>Ви можете легко перетворити цю широку білу раму на практичне рішення для зберігання, додавши полиці, різнокольорові пластикові коробки та прохолодні сітчасті ящики - ви навіть можете використовувати її як сидіння.</p><br> <strong> Інформація про Продукт</strong><br ><br>Весела та довговічна серія меблів для зберігання та впорядкування іграшок, сидіння, ігор та відпочинку.<br >Ви можете створити своє власне рішення для зберігання відповідно до інтер’єру та потреб вашої дитини, комбінуючи різні рами, ящики та полиці на свій розсуд.<br >Каркас має напрямні, тож ви можете вставляти ящики та полиці, де завгодно, і змінювати їх положення в будь-який момент.<br >Низький предмет меблів з місцем для зберігання, підігнаним під зріст дитини. Дітям легше дістатися і прибрати свої речі.<br ><br><strong> Дизайнер</strong><br >Копенгагенська студія<br><br><strong>Матеріали</strong><br >Зносний шар:<br >ДСП, Паперова фольга, Пластикова кромка<br >Направляюча шухляда:<br >Поліпропіленовий пластик<br >Pielęgnacja<br >Przecierać czystą, wilgotną szmatką.<br >Wycierać czystą suchą tkaniną<br><br><strong>Розміри</strong><br><br>Ширина :  99 см<br >- Глибина :  44 см<br >Висота :  56 см",801.538.00,194.0,1.3,7.5,0,1891.5,https://www.ikea.com/pl/pl/images/products/trofast-rama-bialy__0642668_pe701350_s5.jpg?f=s,True
59329378,https://www.ikea.com/pl/pl/p/trofast-regal-bialy-szary-s59329378/,"IKEA TROFAST Книжкова шафа, білий / сірий,","<p>Дітям потрібне місце для ігор - і гарне місце для зберігання іграшок, наприклад TROFAST - серія міцних дерев'яних рам і легких пластикових контейнерів, які дитина може легко висунути, пересунути і поставити назад.</p><br> <strong> Інформація про Продукт</strong><br ><br>Весела та довговічна серія меблів для зберігання та впорядкування іграшок, сидіння, ігор та відпочинку.<br >Каркас має напрямні, тож ви можете вставляти ящики та полиці, де завгодно, і змінювати їх положення в будь-який момент.<br >Низький предмет меблів з місцем для зберігання, підігнаним під зріст дитини. Дітям легше дістатися і прибрати свої речі.<br ><br><strong> Дизайнер</strong><br >Копенгагенська студія<br><br><strong>Матеріали</strong><br >рамка<br >ДСП, Паперова фольга, Пластикова кромка<br >Контейнер<br >Поліпропіленовий пластик<br >Догляд<br >Каркас / контейнер<br >Wycierać szmatką zwilżoną delikatnym środkiem do czyszczenia.<br >Wycierać czystą, suchą szmatką.<br><br><strong>Розміри</strong><br><br>Ширина :  99 см<br >- Глибина :  44 см<br >Висота :  94 см",593.293.78,419.0,1.3,7.5,0,4085.250000000001,https://www.ikea.com/pl/pl/images/products/trofast-regal-bialy-szary__0807589_pe770448_s5.jpg?f=s,True
80515873,https://www.ikea.com/pl/pl/p/trofast-taca-z-przegrodkami-szary-80515873/,"IKEA TROFAST Піднос з роздільниками, сірий,","<p>Цей практичний лоток для зберігання з роздільниками допоможе вашій дитині організувати та знайти дрібні предмети, такі як кольорові ручки, намистини, шнури та колекції. Ідеально поєднується з рамами TROFAST.</p><br> <strong> Інформація про Продукт</strong><br ><br>Роздільники підносів полегшують вашій дитині навчитися організовувати, стежити за порядком і знаходити дрібні предмети, такі як ручки, намистини, шнури, фігурки та колекції.<br >Практичний лоток для зберігання ідеально вписується в рами TROFAST, звідки його можна легко вийняти, перемістити та знову вставити.<br >Кілька лотків можна скласти один на одного.<br >Якщо ви хочете захистити вміст від пилу та бруду, ви можете доповнити кришкою TROFAST, яка продається окремо.<br ><br><strong> Дизайнер</strong><br >Генрік Прейц<br><br><strong>Матеріали</strong><br >Поліпропіленовий пластик<br >Догляд<br >Протріть сухою тканиною.<br >За потреби протріть м’якою тканиною, змоченою у воді та м’якому неабразивному мийному засобі або милі.<br><br><strong>Розміри</strong><br><br>Довжина :  42 см<br >Ширина :  30 см<br >Висота :  5 см",805.158.73,20.0,1.3,7.5,0,0.0,https://www.ikea.com/pl/pl/images/products/trofast-taca-z-przegrodkami-szary__1042387_pe841366_s5.jpg?f=s,True
10362963,https://www.ikea.com/pl/pl/p/slaekt-puf-materac-skladany-10362963/,IKEA SLÄKT Розкладний пуф/матрац,"<br> <strong> Інформація про Продукт</strong><br ><br><br><strong> Дизайнер</strong><br >Густав Карлберг<br><br><strong>Матеріали</strong><br >Тканина матраца / Тканина:<br >100% поліестер<br >Внутрішня тканина:<br >100% поліпропілен<br >Комфортний шар:<br >100% поліестер, пінополіуретан 30 кг / м3<br >Догляд<br >Машинне прання максимум 40 ° C, звичайна програма.<br >Не відбілювати.<br >Не сушити в пральній машині.<br >Праска, максимум 150 °C.<br >Не піддавайте хімчистці.<br><br><strong>Розміри</strong><br><br>Глибина в розкладеному вигляді :  48 см<br >Висота в складеному вигляді :  36 см<br >Довжина :  193 см<br >Ширина :  62 см<br >Товщина :  9 см",103.629.63,350.0,1.3,7.5,0,3412.5,https://www.ikea.com/pl/pl/images/products/slaekt-puf-materac-skladany__0636227_pe697740_s5.jpg?f=s,True
